City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,mata-utu,-13.2816,-176.1745,301.26,74,100,2.71,WF,1682614859
209,laojunmiao,39.8333,97.7333,272.63,26,62,2.79,CN,1682614859
210,tabas,33.5959,56.9244,296.27,43,100,10.8,IR,1682614860
211,suva,-18.1416,178.4415,296.86,100,20,0.0,FJ,1682614860
212,manaure,11.7751,-72.4445,303.34,64,44,5.43,CO,1682614861
213,lagoa,39.05,-27.9833,288.78,83,2,11.94,PT,1682614861
214,piatra neamt,46.9167,26.3333,281.06,50,82,3.14,RO,1682614862
215,san luis de la loma,17.2706,-100.8939,302.85,49,55,2.73,MX,1682614863
216,illapel,-31.6308,-71.1653,295.91,48,60,1.77,CL,1682614865
217,khategaon,22.6,76.9167,302.34,34,81,2.13,IN,1682614867
218,yiwu,29.3151,120.0768,288.49,84,64,1.66,CN,1682614869
219,ilulissat,69.2167,-51.1,273.16,80,40,4.63,GL,1682614871
220,pachperwa,27.5167,82.65,301.09,20,56,2.91,IN,1682614872
221,udachny,66.4167,112.4,260.17,98,49,1.61,RU,1682614873
222,leninogorsk,54.6026,52.4609,287.36,57,20,2.78,RU,1682614874
223,ushuaia,-54.8,-68.3,278.96,70,75,2.57,AR,1682614875
224,fort st. john,56.2499,-120.8529,279.09,49,75,7.72,CA,1682614876
225,naliya,23.2667,68.8333,299.99,72,83,5.29,IN,1682614877
226,akureyri,65.6835,-18.0878,274.11,44,20,4.12,IS,1682614879
227,vila do maio,15.1333,-23.2167,301.59,77,7,6.54,CV,1682614679
228,chadan,51.2833,91.5833,277.85,53,100,2.35,RU,1682614880
229,itoman,26.1247,127.6694,295.16,73,94,3.6,JP,1682614881
230,sosnovka,56.255,51.2842,285.12,83,27,2.28,RU,1682614882
231,sargatskoye,55.6101,73.4972,291.05,32,99,6.25,RU,1682614883
232,guatire,10.4762,-66.5427,307.15,46,45,0.89,VE,1682614884
233,lata,40.1629,-8.3327,297.64,37,87,3.3,PT,1682614884
234,iskateley,67.6803,53.1512,269.66,90,100,5.41,RU,1682614885
235,saint-philippe,-21.3585,55.7679,295.92,79,11,3.51,RE,1682614886
236,constitucion,-35.3333,-72.4167,287.82,89,47,3.51,CL,1682614856
237,beitbridge,-22.2167,30.0,299.98,40,0,4.72,ZW,1682614888
238,mount isa,-20.7333,139.5,289.02,72,76,1.54,AU,1682614889
239,barah,13.7,30.3667,305.46,16,90,6.38,SD,1682614889
240,sao gabriel da cachoeira,-0.1303,-67.0892,304.04,79,0,3.6,BR,1682614891
241,strugi-krasnyye,58.2675,29.1114,278.38,87,100,1.79,RU,1682614892
242,labrador city,52.9463,-66.9114,280.1,76,100,2.06,CA,1682614893
243,crane,31.3974,-102.3501,291.09,34,0,3.86,US,1682614893
244,okakarara,-20.5833,17.4333,300.85,22,55,0.42,NA,1682614894
245,sao joao da barra,-21.6403,-41.0511,304.2,63,6,2.01,BR,1682614749
246,pacific grove,36.6177,-121.9166,296.84,95,20,0.45,US,1682614895
247,boundiali,9.5217,-6.4869,311.07,19,51,2.17,CI,1682614897
